Date,Open,High,Low,Close
2024-01-02,1.1042,1.1089,1.1020,1.1065
2024-01-03,1.1065,1.1120,1.1050,1.1095
2024-01-04,1.1095,1.0980,1.0920,1.0945
2024-01-05,1.0945,1.0970,1.0880,1.0910
2024-01-08,1.0910,1.0960,1.0890,1.0935
2024-01-09,1.0935,1.0900,1.0820,1.0850
2024-01-10,1.0850,1.0920,1.0830,1.0880
2024-01-11,1.0880,1.0955,1.0860,1.0920
2024-01-12,1.0920,1.0880,1.0820,1.0845
2024-01-15,1.0845,1.0870,1.0790,1.0820
2024-01-16,1.0820,1.0890,1.0800,1.0860
2024-01-17,1.0860,1.0910,1.0840,1.0885
2024-01-18,1.0885,1.0850,1.0780,1.0800
2024-01-19,1.0800,1.0840,1.0770,1.0815
2024-01-22,1.0815,1.0880,1.0795,1.0855
2024-01-23,1.0855,1.0820,1.0750,1.0775
2024-01-24,1.0775,1.0830,1.0760,1.0805
2024-01-25,1.0805,1.0875,1.0790,1.0840
2024-01-26,1.0840,1.0900,1.0820,1.0870
2024-01-29,1.0870,1.0925,1.0850,1.0895
